nmot_w,te_w,fr_w
4282,7.96801,0.923066
4301.5,8.19734,0.9339
4311.75,8.39734,0.941621
4328.5,8.60534,0.94867
4331.5,8.78934,0.954346
4351.5,8.93868,0.960602
4363.25,9.05068,0.963105
4373.5,9.21601,0.96338
4391.5,9.35201,0.962281
4412.5,9.57068,0.967072
4419.75,9.76268,0.973298
4424.25,9.91735,0.97699
4446.5,10.0293,0.976929
4471.25,10.2453,0.979096
4476.5,10.4987,0.984223
4491.75,10.7093,0.98877
4508.5,10.9067,0.988801
4525.25,11.1013,0.987061
4553.25,11.32,0.987885
4559.5,11.536,0.990357
4574,11.744,0.992554
4593,11.952,0.994172
4618,12.1413,0.995576
4629,12.368,0.996644
4646.75,12.512,0.998658
4675.25,12.7387,1.00064
4688.75,12.96,1.00476
4713.5,13.2533,1.00928
4730.75,13.4374,1.01123
4753.25,13.6134,1.01138
4767.25,13.7867,1.01297
4792.75,13.9627,1.01291
4812.25,13.9574,1.00818
4834.5,13.9254,1.00238
4858.5,13.8,0.998292
4878,13.864,0.998048
4890.75,13.9867,1.00543
4922.75,14.1067,1.01471
4941.75,14.2454,1.02359
4961.75,14.376,1.03427
4988.25,14.5574,1.04602
5010,14.6907,1.05838
5035,14.8507,1.0716
5040.25,14.984,1.08353
5084,15.0534,1.09216
5100.25,15.2054,1.10449
5120,15.3814,1.11774
5143.25,15.4827,1.12467
5174,15.5814,1.13373
5182.5,15.6427,1.13782
5217.25,15.7227,1.14575
5238.5,15.744,1.14743
5247.75,15.8027,1.15344
5288.5,15.7254,1.15216
5310.75,15.6987,1.15268
5324,15.6854,1.1546
5353.25,15.7094,1.15741
5380.75,15.7094,1.15772
5393.5,17.1787,1.15979
5430,14.9414,0.998597
5443.25,15,1.00708
5462.25,15.2214,1.02219
5496.5,15.288,1.03317
5512.5,15.376,1.04028
5539.75,15.448,1.04865
5559.5,15.4987,1.05597
5587.25,15.648,1.0629
5612.25,15.6587,1.06622
5620.75,15.6774,1.06674
5649,15.6534,1.06842
5681,15.68,1.06989
5688.25,15.7334,1.07013
5719.25,15.7014,1.07062
5734.5,15.656,1.07001
5747,15.6694,1.07001
5796.5,15.6294,1.07001
5796.5,15.6267,1.07001
5829,15.624,1.07001
5846.25,15.6054,1.07001
5865.25,15.656,1.07001
5881.5,15.608,1.07001
5905.5,15.6027,1.07001
5921.75,15.576,1.07001
5940.5,15.5867,1.07001
5957.75,15.5787,1.07001
5989.5,15.544,1.07001
5989.5,15.5254,1.07001
6010.25,15.5334,1.07001
6034.5,15.528,1.07001
6049,15.4827,1.07001
6068.75,15.4934,1.07001
6084.25,15.464,1.07001
6119.75,15.4,1.07001
6129,15.3547,1.07001
6144,15.3787,1.07001
6159.25,15.3334,1.07001
6182,15.2854,1.07001
6186.25,15.2534,1.07001
6218.75,15.2,1.07001
6230,15.176,1.07001
6244.75,15.144,1.07001
6263.75,15.0934,1.07001
6284,15.0614,1.07001
6297,15.0374,1.07001
6321,15,1.07001
6322.75,14.976,1.07001
6353,14.9654,1.07001
6363,14.9734,1.07001
6370.25,14.96,1.07001
6399.25,14.9147,1.07001
6404.75,14.88,1.07001
6413.75,14.904,1.07001
6445,14.8427,1.07001
6459.75,14.84,1.07001
6463.5,14.7974,1.07001
6472,14.7307,1.07001
6503.75,14.64,1.07001
6511.25,14.616,1.07001
6523.5,14.5814,1.07001
6545.25,14.5494,1.07001
6551,14.5014,1.07001
6572,14.4667,1.07001
6582.75,14.4294,1.07001
6600,14.3974,1.07001
6605,14.3387,1.07001
6614.5,14.2987,1.07001
6641,14.248,1.07001
6650.75,14.24,1.07001
6673.5,14.2214,1.07001
6674.5,14.192,1.07001
6696.25,14.1867,1.07001
6711.25,14.192,1.07001
6723.25,14.152,1.07001
6734.5,14.1627,1.07001
6748.5,14.1654,1.07001
6751.5,14.144,1.07001
6776,14.1627,1.07001
6786.25,14.1387,1.07001
6804.75,13.48,1.07001
6827.25,9.32801,1.07001
6670.5,1.54134,1
6628.25,1.54134,1
6499,1.55734,1
6400,1.568,1.00665
6316.5,1.58934,1.00482
6216.25,1.73867,1
6124,1.73867,1
6011,1.73867,1
5790,1.728,1
5483.75,1.81867,1.00171
5013.25,1.80534,1
4709.5,1.72267,1
4668.5,1.72267,1
4895,1.72267,1
4870.5,1.72267,1
4835.5,1.936,1
4806,2,1
4779,2.31734,1
4779.5,2.832,1
4815.75,4.13334,1
4889.5,4.81867,1
4840.25,5.82934,1
4753.75,5.57067,1
4848.5,5.96534,1
4787.5,6.13601,1
4811.25,6.30934,1.00476
4809.5,6.49601,1.01276
4808.5,6.52267,1.01395
4814.75,6.58401,1.00894
4809.5,6.64534,1.00308
4820,6.68534,1.00144
4814.75,6.65067,1.00076
4817.25,6.76534,1
4827.25,6.79468,1
4822,6.80268,1.00162
4825.5,6.76001,1.00269
4830.25,6.88268,1.00555
4830.75,6.92268,1.00549
4835.5,6.96534,1.00565
4831.25,7.05068,1.00876
4835.5,7.13868,1.01288
4838.5,7.12001,1.01697
4839.75,7.16801,1.01944
4843.75,7.26134,1.02048
4847.5,7.27201,1.02231
4847,7.27201,1.02634
4847,7.28801,1.02915
4854.25,6.52801,1.0282
4856.75,6.51201,1.02811
4855.25,6.56001,1.02081
4861.5,6.55734,1.0101
4861.5,6.52801,1.00076
4859.5,6.44801,0.999024
4865.25,6.00267,0.998536
4853.25,4.61601,0.998872
4836.5,3.12,1
4837,2.61867,1
4850,2.11467,1.00073
4834.5,1.93334,1
4835,1.94134,1
4822.5,1.83734,1
4800.5,1.77067,1
4787.5,1.728,1
4797.25,1.70667,1
4826.25,1.75467,1
4803.5,1.72267,1
4805,1.72267,1
4795.75,1.72267,1
4792.25,1.72267,1
4786.5,1.72267,1
4781.5,1.72267,1
4776,1.72267,1
4773,1.72267,1
4769.75,1.72267,1
4753.25,1.72267,1
4755.75,1.72267,1
4750.75,1.72267,1
4733.75,1.72267,1
4739.75,1.72267,1
4727.75,1.73867,1
4722.25,1.73867,1
4723.25,1.73867,1
4715,1.73867,1
4701.5,1.75467,1
4698.25,1.75467,1
4698.25,1.72267,1
4685,1.72267,1
4680.5,1.72267,1
4680.5,1.72267,1
4671.75,1.75467,1
4661.75,1.75467,1
4655.25,1.75467,1
4643.75,1.75467,1
4628.5,1.75467,1
4619.5,1.75467,1
4605.25,1.73867,1
4594.5,1.73867,1
4589.75,1.73867,1
4576.25,1.73867,1
4571.25,1.75467,1
4566,1.75467,1
4549,1.75467,1
4540.75,1.75467,1
4533.5,1.73867,1
4512.5,1.73867,1
4513.5,1.75467,1
4495.75,1.75467,1
4484.25,1.75467,1
4474.75,1.75467,1
4471.25,1.75467,1
4458.75,1.75467,1
4458,1.75467,1
4433,1.75467,1
4438.25,1.73867,1
4423.25,1.73867,1
4402.5,1.75467,1
4406,1.75467,1
4394.5,1.73867,1
4388,1.73867,1
4377,1.73867,1
4376,1.73867,1
4366.75,1.75467,1
4356,1.75467,1
4360,1.75467,1
4345.25,1.75467,1
4343,1.75467,1
4343.5,1.75467,1
4323.5,1.75467,1
4321.5,1.75467,1
4314.75,1.75467,1
4303.5,1.75467,1
4306,1.73867,1
4295.75,1.73867,1
4296.75,1.73867,1
4286.5,1.73867,1
4283.25,1.73867,1
4269.25,1.73867,1
4270.5,1.73867,1
4264.5,1.73867,1
4258.5,1.73867,1
4244.75,1.73867,1
4245.5,1.73867,1
4232.75,1.73867,1
4244.75,1.72267,1
4227.5,1.72267,1
4241.25,1.73867,1
4236.75,1.73867,1
4246,1.73867,1
4224.75,1.73867,1
4212.5,1.73867,1
4198.75,1.73867,1
4202,1.73867,1
4200,1.73867,1
4191.5,1.83734,1
4202.75,1.72267,1
4182.5,1.72267,1
4193.75,1.73867,1
4184,1.73867,1
4186.25,1.72267,1
4182,2.336,1
4177.75,2.488,1
4185.25,2.46667,1
4187,2.40534,1
4198.5,2.39467,0.998811
4195.75,2.32,0.976105
4195,2.22934,0.94571
4146.5,2.192,0.917176
4153.75,2.14934,0.896302
4161.25,2.128,0.880311
4167.25,2.08,0.869568
4157.25,2.18134,0.861542
4153,2.416,0.823212
4160,2.73334,0.82425
4152.75,2.93067,0.825928
4159.25,3.248,0.826356
4155,3.26667,0.829621
4161.25,3.88534,0.836762
4166.5,3.96,0.845063
4158.75,3.93334,0.854706
4144.75,3.99467,0.88971
4167,4.37601,0.895325
4171.5,4.68534,0.901734
4174.25,5.32001,0.908356
4170.5,5.44267,0.91153
4174.25,5.38667,0.908845
4172.25,5.33601,0.89972
4182,5.26134,0.886841
4183.5,5.21601,0.877381
4183.25,5.12534,0.846467
4195.75,5.13067,0.844269
4194,5.11467,0.840607
4197.25,5.15734,0.839966
4203.25,5.21334,0.83899
4203.25,5.31734,0.840119
4204.25,5.38934,0.840211
4217.25,5.42401,0.842316
4215,5.63734,0.867402
4222,5.62934,0.865662
4234,5.74401,0.855378
4236.75,5.77334,0.856354
4243.25,5.86401,0.860779
4243.5,5.97334,0.863892
4250.25,6.14401,0.871064
4252.5,6.23467,0.877991
4256,6.38934,0.88028
4261.75,6.46401,0.883271
4271.25,6.67201,0.886445
4275.75,6.71734,0.892243
4277.75,7.04268,0.900666
4293,7.12801,0.906495
4291.25,7.40001,0.912049
4302,7.52801,0.919282
4300.25,7.67201,0.922517
4311.75,7.78401,0.923615
4320.25,7.88534,0.923829
4325.5,8.06934,0.925782
4340.5,8.20268,0.926484
4351,8.29601,0.926179
4351.5,8.39734,0.925263
4360,8.52534,0.927949
4373,8.65868,0.930665
4382.5,8.84001,0.930146
4379.5,8.95468,0.930726
4388.75,8.93068,0.928956
4401.75,8.49868,0.929536
4398.25,8.12534,0.934785
4404.25,6.83201,0.95044
4392.25,5.47734,1.01959
4390.5,4.38401,1.01111
4403.5,3.27734,1.02496
4394.75,2.64,1.01666
4401.25,2.368,1.0199
4399.25,2.152,1.01437
4394.75,1.97067,1.00732
4377.75,1.904,1
4361.5,1.80534,1
4353.5,1.79467,1
4381.5,1.73867,1
4403,1.72267,1
4382,1.72267,1
4390.5,1.72267,1
4380.25,1.72267,1
4387,1.75467,1
4376.5,1.75467,1
4378.25,1.73867,1
4374.75,1.73867,1
4368.75,1.72267,1
4367,1.72267,1
4363.25,1.73867,1
4357.5,1.73867,1
4355.25,1.75467,1
4353.25,1.75467,1
4355.25,1.73867,1
4350.75,1.73867,1
4347.75,1.73867,1
4348.5,1.73867,1
4338,1.73867,1
4340.25,1.73867,1
4340.25,1.73867,1
4331,1.73867,1
4339,1.72267,1
4327.25,1.72267,1
4325.5,1.72267,1
4327.25,1.72267,1
4324.75,1.72267,1
4321,1.72267,1
4322.25,1.75467,1
4307.75,1.75467,1
4309.5,1.75467,1
4305.25,1.75467,1
4303.5,1.75467,1
4303.5,1.75467,1
4298.25,1.75467,1
4303.25,1.75467,1
4296.25,1.75467,1
4293.25,1.75467,1
4287.75,1.75467,1
4280.75,1.75467,1
4281.5,1.75467,1
4276.25,1.75467,1
4274.5,1.73867,1
4281.5,1.73867,1
4270.5,1.73867,1
4277.5,1.73867,1
4268,1.73867,1
4272.5,1.73867,1
4257.25,1.73867,1
4259.75,1.73867,1
4257.25,1.77067,1
4246.25,1.77067,1
4254.75,1.77067,1
4254,1.77067,1
4246,1.75467,1
4248.25,1.75467,1
4235.5,1.75467,1
4240.75,1.75467,1
4230.5,1.73867,1
4238,1.73867,1
4232,1.73867,1
4234.25,1.73867,1
4233.5,1.75467,1
4226.75,1.75467,1
4230.5,1.73867,1
4222,1.73867,1
4221.25,1.73867,1
4213.25,1.73867,1
4217,1.73867,1
4207.5,1.73867,1
4211.75,1.75467,1
4206.25,1.75467,1
4207,1.75467,1
4198,1.75467,1
4200,1.73867,1
4194.5,1.73867,1
4195,1.73867,1
4189.75,1.73867,1
4190.5,1.73867,1
4183.5,1.73867,1
4184,1.72267,1
4178.5,1.72267,1
4179,1.73867,1
4174,1.73867,1
4175.5,1.73867,1
4169.75,1.73867,1
4173.5,1.73867,1
4165.5,1.73867,1
4168,1.73867,1
4158.5,1.73867,1
4160.5,1.73867,1
4153.75,1.73867,1
4155.75,1.73867,1
4154.25,1.73867,1
4147.75,1.72267,1
4145.5,1.72267,1
4139.25,1.73867,1
4140,1.73867,1
4132,1.73867,1
4135.5,1.73867,1
4135.25,1.73867,1
4125,1.73867,1
4128.25,1.73867,1
4115.75,1.73867,1
4116.25,1.72267,1
4108.75,1.72267,1
4107.25,1.73867,1
4105.25,1.73867,1
4104.5,1.75467,1
4098.25,1.75467,1
4096.75,1.75467,1
4090.75,1.73867,1
4086,1.75467,1
4082.25,1.75467,1
4079,1.73867,1
4080.5,1.73867,1
4078.5,1.75467,1
4069,1.75467,1
4072,1.73867,1
4058,1.73867,1
4059.75,1.73867,1
4050.25,1.73867,1
4050.75,1.73867,1
4050.75,1.73867,1
4044,1.73867,1
4041.25,1.73867,1
4039.25,1.73867,1
4032.25,1.73867,1
4029.25,1.73867,1
4027.75,1.73867,1
4027.5,1.73867,1
4018.5,1.73867,1
4020,1.73867,1
4014.25,1.73867,1
4008.75,1.73867,1
4007.75,1.73867,1
4001,1.73867,1
3997.5,1.75467,1
3996,1.75467,1
3988.5,1.72267,1
3980.75,1.72267,1
3985,1.72267,1
3972.25,1.72267,1
3973,1.73867,1
3968.75,1.73867,1
3960,1.75467,1
3959.5,1.75467,1
3954.5,1.73867,1
3947.5,1.73867,1
3942.5,1.73867,1
3943.75,1.73867,1
3939,1.73867,1
3931.5,1.73867,1
3929,1.73867,1
3924.5,1.73867,1
3914,1.75467,1
3909.5,1.75467,1
3908.5,1.72267,1
3906.25,1.72267,1
3898.25,1.75467,1
3892.5,1.75467,1
3895.25,1.73867,1
3888.25,1.73867,1
3885,1.73867,1
3878.75,1.73867,1
3870.25,1.73867,1
3863.75,1.73867,1
3861,1.72267,1
3860.25,1.72267,1
3848.75,1.72267,1
3844.75,1.72267,1
3837.5,1.73867,1
3836.25,1.73867,1
3835,1.73867,1
3826.75,1.73867,1
3822.5,1.75467,1
3818,1.75467,1
3816.75,1.73867,1
3809.25,1.73867,1
3807.75,1.73867,1
3796.5,1.73867,1
3793.25,1.73867,1
3791,1.73867,1
3789,1.73867,1
3783.5,1.73867,1
3775.25,1.73867,1
3766,1.73867,1
3764,1.73867,1
3760.75,1.73867,1
3758.25,1.73867,1
3751.5,1.73867,1
3741.25,1.73867,1
3738.75,1.73867,1
3733,1.75467,1
3731,1.75467,1
3727.25,1.75467,1
3722,1.75467,1
3720.75,1.75467,1
3716.5,1.75467,1
3707,1.73867,1
3696.25,1.73867,1
3693.5,1.73867,1
3688,1.73867,1
3685.5,1.73867,1
3681.5,1.73867,1
3679,1.73867,1
3671.5,1.73867,1
3664.75,1.73867,1
3658.5,1.73867,1
3653.75,1.73867,1
3650,1.73867,1
3645,1.73867,1
3637.75,1.73867,1
3635,1.73867,1
3634.25,1.73867,1
3631.75,1.75467,1
3622.5,1.75467,1
3615,1.75467,1
3611.25,1.75467,1
3607.75,1.73867,1
3597.25,1.73867,1
3593.5,1.75467,1
3587.75,1.75467,1
3583.5,1.75467,1
3575.5,1.75467,1
3565,1.75467,1
3562,1.75467,1
3556.25,1.75467,1
3545.75,1.75467,1
3538.75,1.73867,1
3535,1.73867,1
3528,1.73867,1
3518.5,1.73867,1
3506.75,1.72267,1
3502,1.72267,1
3497.25,1.75467,1
3487,1.75467,1
3480.5,1.75467,1
3476.75,1.75467,1
3465.5,1.73867,1
3456.75,1.73867,1
3447.5,1.73867,1
3435.25,1.73867,1
3431.25,1.73867,1
3423.25,1.73867,1
3421,1.73867,1
3408.5,1.73867,1
3400,1.73867,1
3394,1.73867,1
3386.5,1.73867,1
3376.5,1.73867,1
3370.5,1.73867,1
3359.75,1.73867,1
3344.25,1.73867,1
3336.25,1.73867,1
3335.75,1.73867,1
3326,1.73867,1
3314.5,1.73867,1
3309.5,1.73867,1
3300.5,1.73867,1
3295.5,1.73867,1
3289,1.73867,1
3277.25,1.73867,1
3264,1.73867,1
3262.75,1.73867,1
3256.25,1.73867,1
3240.25,1.73867,1
3233.25,1.73867,1
3232.25,1.73867,1
3216.75,1.75467,1
3208.75,1.75467,1
3208.5,1.73867,1
3189.25,1.73867,1
3179,1.73867,1
3177,1.73867,1
3166,1.73867,1
3159.5,1.72267,1
3147.75,1.73867,1
3139.75,1.73867,1
3131.25,1.73867,1
3119.5,1.73867,1
3109.25,1.73867,1
3100.75,1.73867,1
3092.75,1.73867,1
3078.5,1.73867,1
3070.25,1.72267,1
3059.75,1.72267,1
3048.75,1.75467,1
3044,1.75467,1
3026,1.75467,1
3022.75,1.73867,1
3011,1.73867,1
3002,1.72267,1
2990,1.72267,1
2979,1.72267,1
2961.75,1.72267,1
2958.75,1.73867,1
2941,1.73867,1
2936.5,1.77067,1
2926,1.77067,1
2912.75,1.77067,1
2901,1.75467,1
2888.5,1.75467,1
2876,1.75467,1
2858.75,1.75467,1
2845.25,1.73867,1
2831.75,1.73867,1
2817.5,1.73867,1
2811.75,1.75467,1
2792.75,1.75467,1
2739,1.75467,1
2684.75,1.75467,1
2618.75,1.75467,1
2563,1.75467,1
2507.5,1.73867,1
2450.25,1.73867,1
2392.5,1.73867,1
2331,1.73867,1
2268.25,1.75467,1
2203.75,1.75467,1
2152,1.77067,1
2085.5,1.77067,1
2037,1.75467,1
1968.5,1.75467,1
1912.5,1.75467,1
1871.25,1.75467,1
1845.25,1.73867,1
1847.25,1.73867,1
1859.75,1.75467,1
1884.75,1.75467,1
1920.5,1.73867,1
1946.75,1.73867,1
1981.25,1.73867,1
2025.5,1.73867,1
2056.75,1.73867,1
2104.75,1.73867,1
2144.5,1.75467,1
2195.75,1.75467,1
2247.5,1.75467,1
2284,1.75467,1
2338,1.75467,1
2392.25,1.75467,1
2447.75,1.73867,1
2519.25,1.73867,1
2556.5,1.73867,1
2613.5,1.73867,1
2688.75,1.75467,1
2746.5,1.75467,1
2815,1.75467,1
2893.75,1.75467,1
2963.25,1.75467,1
3041.75,1.75467,1
3115.25,1.73867,1
3188.25,1.73867,1
3136.5,1.73867,1
3101,1.73867,1
3125.5,1.73867,1
3115.75,1.73867,1
3070.75,1.75467,1
3081.75,1.75467,1
3070,1.75467,1
3050,1.73867,1
3028.75,1.73867,1
3035.75,1.73867,1
3009.5,1.75467,1
2997.75,1.75467,1
2989.75,1.73867,1
2977.25,1.73867,1
2956,1.73867,1
2946.75,1.73867,1
2932.5,1.73867,1
2911.25,1.75467,1
2900.75,1.75467,1
2887.75,1.73867,1
2869.5,1.73867,1
2856,1.73867,1
2846.25,1.73867,1
2829.25,1.73867,1
2810,1.73867,1
2801.5,1.73867,1
2778.75,1.73867,1
2768.5,1.73867,1
2758.25,1.73867,1
2739.5,1.73867,1
2729.75,1.73867,1
2710.5,1.73867,1
2699,1.73867,1
2688,1.73867,1
2665,1.73867,1
2652,1.73867,1
2635.5,1.73867,1
2627,1.73867,1
2615.25,1.73867,1
2595.75,1.73867,1
2588.25,1.73867,1
2565,1.73867,1
2548.75,1.72267,1
2535.75,1.72267,1
2514,1.73867,1
2506.75,1.73867,1
2496.25,1.73867,1
2470.25,1.73867,1
2461.25,1.73867,1
2440.5,1.73867,1
2425.25,1.73867,1
2416.5,1.73867,1
2399.25,1.73867,1
2387.75,1.73867,1
2377,1.73867,1
2350.25,1.73867,1
2336.75,1.73867,1
2318.75,1.73867,1
2300.5,1.75467,1
2287.25,1.75467,1
2287.75,1.73867,1
2273.5,1.73867,1
2251.25,1.73867,1
2232.25,1.73867,1
2218,1.73867,1
2203.5,1.73867,1
2179.25,1.73867,1
2173.75,1.73867,1
2165.5,1.75467,1
2145,1.75467,1
2124,1.72267,1
2122.75,1.72267,1
2101,1.73867,1
2076.75,1.73867,1
2071.5,1.73867,1
2063.75,1.73867,1
2033.5,1.75467,1
1980.5,1.75467,1
1931,1.75467,1
1874.5,1.75467,1
1823.25,1.73867,1
1765.25,1.73867,1
1710.5,1.73867,1
1648.5,1.73867,1
1588,1.72267,1
1544.75,1.72267,1
1475.5,1.75467,1
1429.25,1.75467,1
1381,1.73867,1
1307.75,2.64534,1
1264.5,2.77067,1
1277.25,2.896,1
1304,2.78667,1
1299.25,2.456,1
1268,2.408,1
1248.75,2.384,1
1243,2.31467,1
1229.25,2.31734,1
1237.5,2.30667,1
1258.5,2.28,1
1290,2.23734,1
1328.25,1.94667,1
1364.5,1.77867,1
1408.25,1.736,1
1487.75,1.73867,1
1540.25,1.73867,1
1611.25,1.72267,1
1692.5,1.72267,1
1772.75,1.72267,1
1854,1.72267,1
1927.75,1.72267,1
2015.75,1.72267,1
2122,1.72267,1
2230,1.72267,1
2337.5,1.75467,1
2445.75,1.75467,1
2559.25,1.72267,1
2643.75,1.72267,1
2621,1.73867,1
2577.25,1.73867,1
2533.5,1.72267,1
2500,1.72267,1
2499.5,1.71467,1
2554.75,1.71467,1
2579.5,1.72267,1
2550.5,1.72267,1
2506.25,1.72267,1
2484.25,1.72267,1
2477.5,1.73867,1
2502.5,1.73867,1
